zip3,destination,scf
010,SPRINGFIELD MA 010,SCF SPRINGFIELD MA 010
011,SPRINGFIELD MA 011U,SCF SPRINGFIELD MA 010
012,PITTSFIELD MA 012,SCF SPRINGFIELD MA 010
013,SPRINGFIELD MA 013,SCF SPRINGFIELD MA 010
014,CENTRAL MA 014,SCF CENTRAL MA 015
015,CENTRAL MA 015,SCF CENTRAL MA 015
016,WORCESTER MA 016U,SCF CENTRAL MA 015
017,CENTRAL MA 017,SCF CENTRAL MA 015
018,MIDDLESEX-ESX MA 018,SCF MIDDLESEX-ESX MA 018
019,MIDDLESEX-ESX MA 019,SCF MIDDLESEX-ESX MA 018
020,BROCKTON MA 020,SCF BROCKTON MA 023
021,BOSTON MA 021U,SCF BOSTON MA 021
022,BOSTON MA 022U,SCF BOSTON MA 021
023,BROCKTON MA 023,SCF BROCKTON MA 023
024,NORTHWEST BOS MA 024,NORTHWEST BOS MA 024D
025,CAPE COD MA 025,SCF CAPE COD MA 025
026,CAPE COD MA 026,SCF CAPE COD MA 025
027,PROVIDENCE RI 027,SCF PROVIDENCE RI 028
028,PROVIDENCE RI 028,SCF PROVIDENCE RI 028
029,PROVIDENCE RI 029U,SCF PROVIDENCE RI 028
030,MANCHESTER NH 030,SCF MANCHESTER NH 030
031,MANCHESTER NH 031U,SCF MANCHESTER NH 030
032,MANCHESTER NH 032,SCF MANCHESTER NH 030
033,CONCORD NH 033U,SCF MANCHESTER NH 030
034,MANCHESTER NH 034,SCF MANCHESTER NH 030
035,WHITE RIV JCT VT 035,SCF WHITE RIV JCT VT 050
036,WHITE RIV JCT VT 036,SCF WHITE RIV JCT VT 050
037,WHITE RIV JCT VT 037,SCF WHITE RIV JCT VT 050
038,PORTSMOUTH NH 038,SCF PORTSMOUTH NH 038
039,PORTSMOUTH NH 039,SCF PORTSMOUTH NH 038
040,PORTLAND ME 040,SCF PORTLAND ME 040
041,PORTLAND ME 041U,SCF PORTLAND ME 040
042,PORTLAND ME 042,SCF PORTLAND ME 040
043,PORTLAND ME 043,SCF PORTLAND ME 040
044,BANGOR ME 044,SCF BANGOR ME 044
045,PORTLAND ME 045,SCF PORTLAND ME 040
046,BANGOR ME 046,SCF BANGOR ME 044
047,BANGOR ME 047,SCF BANGOR ME 044
048,PORTLAND ME 048,SCF PORTLAND ME 040
049,BANGOR ME 049,SCF BANGOR ME 044
050,WHITE RIV JCT VT 050,SCF WHITE RIV JCT VT 050
051,WHITE RIV JCT VT 051,SCF WHITE RIV JCT VT 050
052,WHITE RIV JCT VT 052,SCF WHITE RIV JCT VT 050
053,WHITE RIV JCT VT 053,SCF WHITE RIV JCT VT 050
054,BURLINGTON VT 054,SCF BURLINGTON VT 054
055,MIDDLESEX-ESX MA 055,SCF MIDDLESEX-ESX MA 018
056,BURLINGTON VT 056,SCF BURLINGTON VT 054
057,WHITE RIV JCT VT 057,SCF WHITE RIV JCT VT 050
058,WHITE RIV JCT VT 058,SCF WHITE RIV JCT VT 050
